
2024-09-20 14:17:33,415 DEBUG selector_events Using selector: EpollSelector
2024-09-20 14:17:34,410 DEBUG selector_events Using selector: EpollSelector
2024-09-20 14:17:56,906 DEBUG selector_events Using selector: EpollSelector
2024-09-20 14:21:51,781 DEBUG http_protocol HTTP response complete for ['172.24.0.7', 60348]
2024-09-20 14:21:51,784 INFO runserver HTTP GET /api/v1/notifications/ 200 [0.06, 172.24.0.7:60348]
2024-09-20 14:21:51,798 DEBUG ws_protocol WebSocket ['172.24.0.7', 60358] open and established
2024-09-20 14:21:51,799 INFO runserver WebSocket CONNECT /ws/user/connect/ [172.24.0.7:60358]
2024-09-20 14:21:51,799 DEBUG ws_protocol WebSocket ['172.24.0.7', 60358] accepted by application
2024-09-20 14:21:51,801 DEBUG http_protocol HTTP 200 response started for ['172.24.0.7', 60344]
2024-09-20 14:21:51,802 DEBUG http_protocol HTTP close for ['172.24.0.7', 60344]
2024-09-20 14:21:51,802 DEBUG http_protocol HTTP response complete for ['172.24.0.7', 60344]
2024-09-20 14:21:51,803 INFO runserver HTTP GET /api/v1/users/me/ 200 [0.08, 172.24.0.7:60344]
2024-09-20 14:21:51,806 DEBUG http_protocol HTTP b'GET' request for ['172.24.0.7', 60364]
2024-09-20 14:21:51,845 DEBUG http_protocol HTTP 200 response started for ['172.24.0.7', 60364]
2024-09-20 14:21:51,846 DEBUG http_protocol HTTP close for ['172.24.0.7', 60364]
2024-09-20 14:21:51,846 DEBUG http_protocol HTTP response complete for ['172.24.0.7', 60364]
2024-09-20 14:21:51,846 INFO runserver HTTP GET /api/v1/users/me/ 200 [0.04, 172.24.0.7:60364]
2024-09-20 14:21:51,954 DEBUG http_protocol HTTP b'GET' request for ['172.24.0.7', 60368]
2024-09-20 14:21:51,996 DEBUG http_protocol HTTP 200 response started for ['172.24.0.7', 60368]
2024-09-20 14:21:51,997 DEBUG http_protocol HTTP close for ['172.24.0.7', 60368]
2024-09-20 14:21:51,997 DEBUG http_protocol HTTP response complete for ['172.24.0.7', 60368]
2024-09-20 14:21:51,997 INFO runserver HTTP GET /api/v1/game/ongoing-tournaments/ 200 [0.04, 172.24.0.7:60368]
2024-09-20 14:21:52,054 DEBUG http_protocol HTTP b'GET' request for ['172.24.0.7', 60382]
2024-09-20 14:21:52,096 DEBUG http_protocol HTTP 200 response started for ['172.24.0.7', 60382]
2024-09-20 14:21:52,097 DEBUG http_protocol HTTP close for ['172.24.0.7', 60382]
2024-09-20 14:21:52,097 DEBUG http_protocol HTTP response complete for ['172.24.0.7', 60382]
2024-09-20 14:21:52,097 INFO runserver HTTP GET /api/v1/users/me/ 200 [0.04, 172.24.0.7:60382]
2024-09-20 14:21:52,209 DEBUG http_protocol HTTP b'GET' request for ['172.24.0.7', 60390]
2024-09-20 14:21:52,236 DEBUG http_protocol HTTP 200 response started for ['172.24.0.7', 60390]
2024-09-20 14:21:52,236 DEBUG http_protocol HTTP close for ['172.24.0.7', 60390]
2024-09-20 14:21:52,236 DEBUG http_protocol HTTP response complete for ['172.24.0.7', 60390]
2024-09-20 14:21:52,237 INFO runserver HTTP GET /api/v1/chat/rooms/ 200 [0.03, 172.24.0.7:60390]
2024-09-20 14:21:52,293 DEBUG http_protocol HTTP b'GET' request for ['172.24.0.7', 60396]
2024-09-20 14:21:52,298 DEBUG http_protocol HTTP b'GET' request for ['172.24.0.7', 60400]
